id,texto_usuario,tipo_inmueble,habitaciones,banos,parqueadero,estrato,operacion,ciudad,zona,precio_rango,amoblado,mascotas,balcon,terraza,areas_comunes
17,"Estoy buscando apto en Centro Bogotá, 2 alcobas, tipo dúplex para venta, que acepte mascotas, que tenga balcón, con terraza, presupuesto 1M - 1.5M",duplex,2,2,0,2,venta,Bogotá,Centro,1M - 1.5M,0,1,1,1,terraza
18,"Un loft moderno cómodo de una habitación y 3 baños en buen estado, en Granada, Cali para arriendo, amoblado, terraza amplia, 1 parqueadero, presupuesto 3M - 4M",loft,1,3,1,2,arriendo,Cali,Granada,3M - 4M,1,0,0,1,"salón social, gimnasio"
19,"Quiero arriendo un apto en último piso, en Cali, idealmente en San Fernando, de 4 alcobas y un baño, que acepte mascotas, que tenga balcón, con terraza, presupuesto 1.5M - 2M",penthouse,4,1,1,5,arriendo,Cali,San Fernando,1.5M - 2M,0,1,1,1,"piscina, salón social"
20,"Necesito un mini estudio 1 habitación estrato 3 en Bucaramanga, para venta por 4M - 5M, semi amoblado, apto para mascotas, que tenga balcón, con terraza",estudio,1,2,1,3,venta,Bucaramanga,Centro,4M - 5M,1,1,1,1,zona BBQ
21,"Estoy buscando apto en Envigado Medellín, una habitación, tipo apartaestudio para arriendo, pet friendly, con balcón, presupuesto 3M - 4M, estrato 2",apartaestudio,1,1,0,2,arriendo,Medellín,Envigado,3M - 4M,0,1,1,0,"piscina, coworking, terraza"
22,"Quiero venta un apto en último piso, en Bucaramanga, idealmente en Centro, de 2 habitaciones y 1 baño, semi amoblado, que acepte mascotas, que tenga balcón, con terraza, con parqueadero, estrato 3",penthouse,2,1,1,3,venta,Bucaramanga,Centro,3M - 4M,1,1,1,1,salón social
23,"Estoy buscando apto en Envigado Medellín, tres habitaciones, tipo apto tradicional para arriendo, terraza amplia, presupuesto 4M - 5M",apartamento,3,3,0,3,arriendo,Medellín,Envigado,4M - 5M,0,0,0,1,"gimnasio, zona BBQ, piscina"
24,"Quiero venta un apto en último piso, en Barranquilla, idealmente en Villa Santos, de 3 alcobas y 2 baños en buen estado, que acepte mascotas, con terraza, presupuesto 3M - 4M",penthouse,3,2,0,4,venta,Barranquilla,Villa Santos,3M - 4M,0,1,0,1,"piscina, balcón, coworking"
25,"Busco apto en último piso de 4 habitaciones en Alto Prado, Barranquilla, para arriendo, totalmente amoblado, pet friendly, con balcón, presupuesto menos de 1M",penthouse,4,1,0,5,arriendo,Barranquilla,Alto Prado,menos de 1M,1,1,1,0,"gimnasio, coworking, piscina"
26,"Necesito un dúplex una habitación estrato 3 en Bucaramanga, para arriendo por 1M - 1.5M, pet friendly, no necesito parqueadero, presupuesto 1M - 1.5M",duplex,1,1,0,3,arriendo,Bucaramanga,Cabecera,1M - 1.5M,0,1,0,0,"salón social, gimnasio, coworking"
27,"Estoy buscando apto en Cedritos Bogotá, 1 alcoba, tipo loft de concepto abierto para arriendo, totalmente amoblado, con terraza, no necesito parqueadero, presupuesto más de 5M",loft,1,2,0,2,arriendo,Bogotá,Cedritos,más de 5M,1,0,0,1,"salón social, gimnasio, balcón"
28,"Quiero venta un dúplex, en Bucaramanga, idealmente en Centro, de 2 habitaciones y 2 baños en buen estado, totalmente amoblado, apto para mascotas, que tenga balcón, terraza amplia, no necesito parqueadero, presupuesto más de 5M, estrato 6",duplex,2,2,0,6,venta,Bucaramanga,Centro,más de 5M,1,1,1,1,"coworking, terraza"
29,"Necesito un apto tradicional tres habitaciones estrato 4 en Bucaramanga, para arriendo por menos de 1M, pet friendly, que tenga balcón, presupuesto menos de 1M",apartamento,3,2,2,4,arriendo,Bucaramanga,Cabecera,menos de 1M,0,1,1,0,"salón social, coworking, piscina"
30,"Busco loft de concepto abierto de 1 habitación en Cañaveral, Bucaramanga, para venta, semi amoblado, apto para mascotas, con balcón, con terraza, dos parqueaderos, presupuesto 1.5M - 2M",loft,1,3,2,4,venta,Bucaramanga,Cañaveral,1.5M - 2M,1,1,1,1,balcón
31,"Quiero venta un penthouse, en Medellín, idealmente en Belen, de 4 alcobas y 2 baños en buen estado, semi amoblado, terraza amplia, sin parqueadero, presupuesto 1M - 1.5M, estrato 3",penthouse,4,2,0,3,venta,Medellín,Belen,1M - 1.5M,1,0,0,1,
32,"Busco loft de 1 habitación en Alto Prado, Barranquilla, para venta, pet friendly, con balcón, no necesito parqueadero, presupuesto más de 5M",loft,1,2,0,2,venta,Barranquilla,Alto Prado,más de 5M,0,1,1,0,
33,"Quiero venta un apto pequeño para una persona, en Cali, idealmente en San Fernando, de una habitación y 3 baños, amoblado, con parqueadero, presupuesto 2M - 3M, estrato 5",apartaestudio,1,3,1,5,venta,Cali,San Fernando,2M - 3M,1,0,0,0,gimnasio
34,"Quiero venta un penthouse, en Cali, idealmente en San Fernando, de 3 alcobas y 2 baños, totalmente amoblado, con terraza, sin parqueadero",penthouse,3,2,0,3,venta,Cali,San Fernando,más de 5M,1,0,0,1,piscina
35,"Quiero venta un apto en último piso, en Barranquilla, idealmente en Villa Santos, de tres habitaciones y 2 baños, semi amoblado, apto para mascotas, sin parqueadero",penthouse,3,2,0,5,venta,Barranquilla,Villa Santos,3M - 4M,1,1,0,0,"salón social, gimnasio, zona BBQ"
36,"Necesito un apto tradicional una habitación estrato 6 en Cali, para venta por 3M - 4M, totalmente amoblado, apto para mascotas, terraza amplia, 1 parqueadero",apartamento,1,1,1,6,venta,Cali,Granada,3M - 4M,1,1,0,1,"piscina, gimnasio"
37,"Busco loft moderno de una alcoba en Centro, Bogotá, para venta, pet friendly, que tenga balcón, 1 parqueadero, presupuesto más de 5M",loft,1,1,1,4,venta,Bogotá,Centro,más de 5M,0,1,1,0,zona BBQ
38,"Estoy buscando apto en San Fernando Cali, 1 alcoba, tipo mini estudio para arriendo, totalmente amoblado, presupuesto menos de 1M",estudio,1,1,2,3,arriendo,Cali,San Fernando,menos de 1M,1,0,0,0,"balcón, salón social, terraza"
39,"Estoy buscando apto en Usaquén Bogotá, una alcoba, tipo loft de concepto abierto para arriendo, semi amoblado, que acepte mascotas, que tenga balcón, doble parqueadero, presupuesto más de 5M",loft,1,1,2,6,arriendo,Bogotá,Usaquén,más de 5M,1,1,1,0,"salón social, gimnasio"
40,"Estoy buscando apto en Alto Prado Barranquilla, 1 alcoba, tipo apto pequeño para una persona para arriendo, amoblado, apto para mascotas, que tenga balcón, 2 parqueaderos, presupuesto 1.5M - 2M",apartaestudio,1,1,2,5,arriendo,Barranquilla,Alto Prado,1.5M - 2M,1,1,1,0,"balcón, terraza, zona BBQ"
41,"Necesito un apto pequeño para una persona una habitación estrato 4 en Bucaramanga, para venta por 2M - 3M, pet friendly, con balcón, terraza amplia",apartaestudio,1,1,1,4,venta,Bucaramanga,Centro,2M - 3M,0,1,1,1,"coworking, zona BBQ, balcón"
42,"Quiero arriendo un mini estudio, en Bogotá, idealmente en Usaquén, de 1 habitación y 2 baños, pet friendly, que tenga balcón, con terraza, no requiere parqueadero, presupuesto más de 5M, estrato 4",estudio,1,2,0,4,arriendo,Bogotá,Usaquén,más de 5M,0,1,1,1,"terraza, coworking, zona BBQ"
43,"Busco apartamento de 4 habitaciones en Cabecera, Bucaramanga, para venta, amoblado, que acepte mascotas, que tenga balcón, terraza amplia, presupuesto menos de 1M",apartamento,4,2,0,5,venta,Bucaramanga,Cabecera,menos de 1M,1,1,1,1,"piscina, gimnasio"
44,"Busco apto dúplex de 4 alcobas en Centro, Bucaramanga, para arriendo, semi amoblado, con balcón, no necesito parqueadero, presupuesto 2M - 3M, estrato 6",duplex,4,2,0,6,arriendo,Bucaramanga,Centro,2M - 3M,1,0,1,0,zona BBQ
45,"Quiero venta un apartaestudio, en Medellín, idealmente en Laureles, de una alcoba y un baño, amoblado, apto para mascotas, terraza amplia, estrato 4",apartaestudio,1,1,1,4,venta,Medellín,Laureles,1M - 1.5M,1,1,0,1,"coworking, gimnasio, salón social"
46,"Busco loft de 1 alcoba en Villa Santos, Barranquilla, para arriendo, semi amoblado, que acepte mascotas, que tenga balcón, presupuesto 4M - 5M, estrato 6",loft,1,1,1,6,arriendo,Barranquilla,Villa Santos,4M - 5M,1,1,1,0,piscina
47,"Necesito un mini estudio 1 alcoba estrato 2 en Medellín, para arriendo por 2M - 3M, amoblado, que acepte mascotas, que tenga balcón, estrato 2",estudio,1,2,1,2,arriendo,Medellín,Laureles,2M - 3M,1,1,1,0,"salón social, balcón, piscina"
48,"Un apto dúplex cómodo de tres habitaciones y 3 baños, en Granada, Cali para venta, amoblado, un parqueadero privado, presupuesto menos de 1M, estrato 2",duplex,3,3,1,2,venta,Cali,Granada,menos de 1M,1,0,0,0,
49,"Busco aparta estudio de 1 habitación en Granada, Cali, para arriendo, amoblado, sin parqueadero",apartaestudio,1,2,0,6,arriendo,Cali,Granada,1M - 1.5M,1,0,0,0,balcón
50,"Busco apto dúplex de una alcoba en Centro, Barranquilla, para arriendo, que acepte mascotas, que tenga balcón, con parqueadero, presupuesto 1M - 1.5M, estrato 4",duplex,1,2,1,4,arriendo,Barranquilla,Centro,1M - 1.5M,0,1,1,0,
51,"Estoy buscando apto en Centro Barranquilla, 1 habitación, tipo apto pequeño para una persona para venta, amoblado, que acepte mascotas, que tenga balcón, presupuesto 3M - 4M",apartaestudio,1,2,2,6,venta,Barranquilla,Centro,3M - 4M,1,1,1,0,
52,"Busco apto para familia de cuatro habitaciones en Alto Prado, Barranquilla, para arriendo, que tenga balcón, un parqueadero privado, estrato 4",apartamento,4,2,1,4,arriendo,Barranquilla,Alto Prado,menos de 1M,0,0,1,0,"coworking, terraza"
53,"Necesito un apto dúplex 1 alcoba estrato 4 en Bogotá, para venta por 3M - 4M, con balcón",duplex,1,2,2,4,venta,Bogotá,Teusaquillo,3M - 4M,0,0,1,0,
54,"Busco penthouse de 4 alcobas en Suba, Bogotá, para venta, amoblado, apto para mascotas, con balcón, no requiere parqueadero, presupuesto 1.5M - 2M, estrato 6",penthouse,4,3,0,6,venta,Bogotá,Suba,1.5M - 2M,1,1,1,0,coworking
55,"Un apto tradicional cómodo de 2 habitaciones y 2 baños, en Suba, Bogotá para arriendo, con balcón, terraza amplia, 1 parqueadero, presupuesto 1M - 1.5M",apartamento,2,2,1,4,arriendo,Bogotá,Suba,1M - 1.5M,0,0,1,1,"piscina, zona BBQ, coworking"
56,"Estoy buscando apto en Cabecera Bucaramanga, cuatro habitaciones, tipo penthouse para venta, pet friendly, no requiere parqueadero",penthouse,4,2,0,3,venta,Bucaramanga,Cabecera,menos de 1M,0,1,0,0,"gimnasio, coworking"
57,"Un dúplex cómodo de 3 habitaciones y un baño, en Centro, Bogotá para venta, totalmente amoblado, apto para mascotas, que tenga balcón, con terraza, con parqueadero, presupuesto menos de 1M",duplex,3,1,1,2,venta,Bogotá,Centro,menos de 1M,1,1,1,1,"balcón, piscina"
58,"Quiero arriendo un penthouse, en Cali, idealmente en Granada, de dos habitaciones y 2 baños en buen estado, con balcón, con terraza, presupuesto menos de 1M, estrato 4",penthouse,2,2,1,4,arriendo,Cali,Granada,menos de 1M,0,0,1,1,terraza
59,"Necesito un apto dúplex 4 habitaciones estrato 6 en Bucaramanga, para venta por 4M - 5M, semi amoblado, pet friendly, terraza amplia, dos parqueaderos, presupuesto 4M - 5M, estrato 6",duplex,4,2,2,6,venta,Bucaramanga,Centro,4M - 5M,1,1,0,1,
60,"Busco apto tradicional de tres habitaciones en Centro, Barranquilla, para venta, apto para mascotas, con terraza, no requiere parqueadero, presupuesto 3M - 4M, estrato 6",apartamento,3,1,0,6,venta,Barranquilla,Centro,3M - 4M,0,1,0,1,"zona BBQ, terraza, balcón"
61,"Necesito un ático con terraza 4 habitaciones estrato 4 en Barranquilla, para venta por más de 5M, semi amoblado, con balcón, un parqueadero privado, presupuesto más de 5M",penthouse,4,1,1,4,venta,Barranquilla,Villa Santos,más de 5M,1,0,1,0,"balcón, zona BBQ"
62,"Necesito un apto tradicional cuatro habitaciones estrato 2 en Bucaramanga, para venta por 4M - 5M, totalmente amoblado, con terraza, 2 parqueaderos, presupuesto 4M - 5M, estrato 2",apartamento,4,1,2,2,venta,Bucaramanga,Cañaveral,4M - 5M,1,0,0,1,"balcón, gimnasio"
63,"Necesito un mini estudio una habitación estrato 6 en Cali, para arriendo por 1M - 1.5M, semi amoblado",estudio,1,3,2,6,arriendo,Cali,San Fernando,1M - 1.5M,1,0,0,0,salón social
64,"Estoy buscando apto en Alto Prado Barranquilla, 4 habitaciones, tipo dúplex para venta, totalmente amoblado, apto para mascotas, con balcón, con terraza, 2 parqueaderos, presupuesto 1.5M - 2M",duplex,4,1,2,3,venta,Barranquilla,Alto Prado,1.5M - 2M,1,1,1,1,"terraza, coworking, zona BBQ"
65,"Necesito un apartaestudio 1 alcoba estrato 3 en Cali, para venta por 2M - 3M, pet friendly, con balcón, no necesito parqueadero, presupuesto 2M - 3M, estrato 3",apartaestudio,1,2,0,3,venta,Cali,Granada,2M - 3M,0,1,1,0,"balcón, gimnasio, terraza"
66,"Estoy buscando apto en Usaquén Bogotá, cuatro habitaciones, tipo dúplex para arriendo, apto para mascotas, terraza amplia, dos parqueaderos, presupuesto 1M - 1.5M, estrato 2",duplex,4,2,2,2,arriendo,Bogotá,Usaquén,1M - 1.5M,0,1,0,1,gimnasio
67,"Estoy buscando apto en Teusaquillo Bogotá, 4 alcobas, tipo ático con terraza para venta, que acepte mascotas, no necesito parqueadero, estrato 4",penthouse,4,1,0,4,venta,Bogotá,Teusaquillo,1.5M - 2M,0,1,0,0,"balcón, zona BBQ"
68,"Quiero arriendo un apto tipo estudio, en Bogotá, idealmente en Teusaquillo, de una alcoba y 2 baños en buen estado, amoblado, con terraza, estrato 4",estudio,1,2,0,4,arriendo,Bogotá,Teusaquillo,4M - 5M,1,0,0,1,"coworking, salón social"
69,"Busco apto pequeño para una persona de 1 alcoba en San Fernando, Cali, para venta, totalmente amoblado, que acepte mascotas",apartaestudio,1,1,0,2,venta,Cali,San Fernando,2M - 3M,1,1,0,0,"gimnasio, balcón"
70,"Busco loft moderno de 1 alcoba en San Fernando, Cali, para venta, que acepte mascotas, terraza amplia, no requiere parqueadero, estrato 5",loft,1,2,0,5,venta,Cali,San Fernando,1.5M - 2M,0,1,0,1,zona BBQ
71,"Quiero venta un loft, en Bucaramanga, idealmente en Cañaveral, de una alcoba y 2 baños, con balcón, con terraza, presupuesto 1.5M - 2M, estrato 2",loft,1,2,1,2,venta,Bucaramanga,Cañaveral,1.5M - 2M,0,0,1,1,balcón
72,"Quiero venta un penthouse, en Cali, idealmente en Ciudad Jardín, de dos habitaciones y 3 baños, que tenga balcón, terraza amplia, presupuesto más de 5M",penthouse,2,3,0,5,venta,Cali,Ciudad Jardín,más de 5M,0,0,1,1,"salón social, gimnasio"
73,"Busco apartamento en dos niveles de 4 habitaciones en El Poblado, Medellín, para venta, apto para mascotas, terraza amplia",duplex,4,1,2,4,venta,Medellín,El Poblado,1M - 1.5M,0,1,0,1,
74,"Necesito un apartamento en dos niveles dos habitaciones estrato 3 en Medellín, para arriendo por 1M - 1.5M, totalmente amoblado, que tenga balcón, terraza amplia, estrato 3",duplex,2,2,2,3,arriendo,Medellín,Laureles,1M - 1.5M,1,0,1,1,"coworking, zona BBQ, terraza"
75,"Quiero venta un apartamento, en Medellín, idealmente en Laureles, de 1 habitación y 2 baños en buen estado, que acepte mascotas, presupuesto más de 5M, estrato 6",apartamento,1,2,1,6,venta,Medellín,Laureles,más de 5M,0,1,0,0,gimnasio
76,"Busco estudio de una habitación en Belen, Medellín, para venta, estrato 6",estudio,1,2,0,6,venta,Medellín,Belen,3M - 4M,0,0,0,0,"coworking, zona BBQ"
77,"Estoy buscando apto en Centro Barranquilla, una habitación, tipo apto pequeño para una persona para arriendo, totalmente amoblado, que acepte mascotas, que tenga balcón, un parqueadero privado, presupuesto 3M - 4M",apartaestudio,1,3,1,6,arriendo,Barranquilla,Centro,3M - 4M,1,1,1,0,"gimnasio, piscina, balcón"
78,"Un apartamento cómodo de 3 habitaciones y 2 baños en buen estado, en Granada, Cali para arriendo, que acepte mascotas, con balcón",apartamento,3,2,0,4,arriendo,Cali,Granada,2M - 3M,0,1,1,0,balcón
79,"Busco penthouse de 4 alcobas en Cañaveral, Bucaramanga, para venta, amoblado, que acepte mascotas, no requiere parqueadero, presupuesto 2M - 3M, estrato 3",penthouse,4,2,0,3,venta,Bucaramanga,Cañaveral,2M - 3M,1,1,0,0,"zona BBQ, piscina, terraza"
80,"Un estudio cómodo de una alcoba y 1 baño, en Ciudad Jardín, Cali para venta, que acepte mascotas, presupuesto 1.5M - 2M",estudio,1,1,1,3,venta,Cali,Ciudad Jardín,1.5M - 2M,0,1,0,0,"zona BBQ, gimnasio"
81,"Estoy buscando apto en Cañaveral Bucaramanga, 1 habitación, tipo apartaestudio para venta, que tenga balcón, un parqueadero privado, presupuesto más de 5M",apartaestudio,1,1,1,4,venta,Bucaramanga,Cañaveral,más de 5M,0,0,1,0,
82,"Busco apartamento de 2 habitaciones en Centro, Bucaramanga, para venta, semi amoblado, que acepte mascotas, que tenga balcón",apartamento,2,2,2,4,venta,Bucaramanga,Centro,3M - 4M,1,1,1,0,"gimnasio, salón social"
83,"Necesito un penthouse dos habitaciones estrato 5 en Bucaramanga, para arriendo por 4M - 5M, totalmente amoblado, doble parqueadero, presupuesto 4M - 5M",penthouse,2,1,2,5,arriendo,Bucaramanga,Centro,4M - 5M,1,0,0,0,
84,"Un apto en último piso cómodo de 3 alcobas y 1 baño, en Cañaveral, Bucaramanga para arriendo, totalmente amoblado, pet friendly, con balcón, no necesito parqueadero, presupuesto 4M - 5M",penthouse,3,1,0,6,arriendo,Bucaramanga,Cañaveral,4M - 5M,1,1,1,0,"zona BBQ, gimnasio, coworking"
85,"Busco apto tradicional de tres habitaciones en San Fernando, Cali, para venta, totalmente amoblado, que acepte mascotas, terraza amplia, presupuesto más de 5M",apartamento,3,1,1,4,venta,Cali,San Fernando,más de 5M,1,1,0,1,"coworking, gimnasio, terraza"
86,"Busco apartamento de 3 alcobas en El Poblado, Medellín, para arriendo, estrato 6",apartamento,3,1,0,6,arriendo,Medellín,El Poblado,4M - 5M,0,0,0,0,"gimnasio, salón social, piscina"
87,"Necesito un apto dúplex 4 habitaciones estrato 4 en Cali, para venta por menos de 1M, presupuesto menos de 1M",duplex,4,2,0,4,venta,Cali,San Fernando,menos de 1M,0,0,0,0,"coworking, terraza, balcón"
88,"Un estudio cómodo de 1 alcoba y 2 baños en buen estado, en Envigado, Medellín para venta, con balcón, un parqueadero privado",estudio,1,2,1,5,venta,Medellín,Envigado,1.5M - 2M,0,0,1,0,"salón social, gimnasio, terraza"
89,"Un apto en último piso cómodo de 3 habitaciones y 1 baño, en Envigado, Medellín para arriendo, con balcón, terraza amplia, presupuesto 1.5M - 2M, estrato 2",penthouse,3,1,1,2,arriendo,Medellín,Envigado,1.5M - 2M,0,0,1,1,piscina
90,"Estoy buscando apto en Centro Bucaramanga, una alcoba, tipo apto tipo estudio para venta, semi amoblado, que tenga balcón, terraza amplia",estudio,1,2,1,3,venta,Bucaramanga,Centro,más de 5M,1,0,1,1,terraza
91,"Busco apto dúplex de 2 alcobas en Centro, Bucaramanga, para venta, estrato 2",duplex,2,1,2,2,venta,Bucaramanga,Centro,1.5M - 2M,0,0,0,0,terraza
92,"Busco ático con terraza de tres habitaciones en Centro, Barranquilla, para venta, totalmente amoblado, que acepte mascotas, con terraza, con parqueadero, estrato 3",penthouse,3,1,1,3,venta,Barranquilla,Centro,menos de 1M,1,1,0,1,"coworking, balcón"
93,"Busco loft de concepto abierto de 1 habitación en Envigado, Medellín, para arriendo, amoblado, apto para mascotas, que tenga balcón, con terraza, presupuesto 1.5M - 2M, estrato 5",loft,1,1,1,5,arriendo,Medellín,Envigado,1.5M - 2M,1,1,1,1,
94,"Estoy buscando apto en Cañaveral Bucaramanga, una habitación, tipo apto tipo estudio para venta, con balcón, con terraza, con parqueadero, presupuesto más de 5M, estrato 6",estudio,1,2,1,6,venta,Bucaramanga,Cañaveral,más de 5M,0,0,1,1,gimnasio
95,"Necesito un apartamento en dos niveles 1 alcoba estrato 5 en Medellín, para venta por más de 5M, con balcón, presupuesto más de 5M, estrato 5",duplex,1,1,0,5,venta,Medellín,Laureles,más de 5M,0,0,1,0,"zona BBQ, coworking"
96,"Quiero venta un apartamento, en Bucaramanga, idealmente en Cañaveral, de una alcoba y 3 baños, totalmente amoblado, apto para mascotas, con balcón, terraza amplia, presupuesto menos de 1M",apartamento,1,3,2,3,venta,Bucaramanga,Cañaveral,menos de 1M,1,1,1,1,"terraza, gimnasio, piscina"
97,"Busco apto en último piso de 4 habitaciones en Belen, Medellín, para venta, pet friendly, con balcón, 1 parqueadero, presupuesto 4M - 5M",penthouse,4,1,1,3,venta,Medellín,Belen,4M - 5M,0,1,1,0,balcón
98,"Un aparta estudio cómodo de 1 alcoba y 1 baño, en Centro, Bucaramanga para arriendo, totalmente amoblado, que tenga balcón, con terraza",apartaestudio,1,1,0,5,arriendo,Bucaramanga,Centro,1M - 1.5M,1,0,1,1,"piscina, zona BBQ, gimnasio"
99,"Un apto tradicional cómodo de dos habitaciones y 2 baños en buen estado, en Cabecera, Bucaramanga para arriendo, con balcón, terraza amplia, un parqueadero privado, presupuesto 4M - 5M",apartamento,2,2,1,5,arriendo,Bucaramanga,Cabecera,4M - 5M,0,0,1,1,"terraza, coworking"
100,"Estoy buscando apto en Laureles Medellín, una habitación, tipo loft de concepto abierto para venta, amoblado, presupuesto 4M - 5M",loft,1,2,1,3,venta,Medellín,Laureles,4M - 5M,1,0,0,0,
101,"Un apartamento tipo estudio cómodo de 1 alcoba y un baño, en Teusaquillo, Bogotá para venta, semi amoblado, apto para mascotas, 2 parqueaderos, presupuesto 4M - 5M, estrato 5",estudio,1,1,2,5,venta,Bogotá,Teusaquillo,4M - 5M,1,1,0,0,"balcón, coworking, zona BBQ"
102,"Busco aparta estudio de una habitación en Ciudad Jardín, Cali, para venta, totalmente amoblado, que tenga balcón, terraza amplia, sin parqueadero, presupuesto más de 5M",apartaestudio,1,1,0,6,venta,Cali,Ciudad Jardín,más de 5M,1,0,1,1,"zona BBQ, terraza, salón social"
103,"Necesito un apartamento tipo estudio una habitación estrato 4 en Bucaramanga, para arriendo por 1M - 1.5M, pet friendly, con balcón, un parqueadero privado",estudio,1,2,1,4,arriendo,Bucaramanga,Cabecera,1M - 1.5M,0,1,1,0,
104,"Necesito un apto tradicional dos habitaciones estrato 6 en Bucaramanga, para venta por 2M - 3M, que tenga balcón, presupuesto 2M - 3M",apartamento,2,3,0,6,venta,Bucaramanga,Cañaveral,2M - 3M,0,0,1,0,
105,"Estoy buscando apto en Alto Prado Barranquilla, 1 alcoba, tipo loft para venta, semi amoblado, con balcón, presupuesto 4M - 5M, estrato 4",loft,1,2,0,4,venta,Barranquilla,Alto Prado,4M - 5M,1,0,1,0,
106,"Un estudio cómodo de una habitación y 2 baños en buen estado, en Suba, Bogotá para venta, pet friendly, que tenga balcón, terraza amplia, 1 parqueadero, presupuesto menos de 1M, estrato 4",estudio,1,2,1,4,venta,Bogotá,Suba,menos de 1M,0,1,1,1,
107,"Estoy buscando apto en Laureles Medellín, 2 habitaciones, tipo penthouse para venta, totalmente amoblado, que acepte mascotas, con balcón, 2 parqueaderos, estrato 3",penthouse,2,3,2,3,venta,Medellín,Laureles,1.5M - 2M,1,1,1,0,
108,"Un penthouse cómodo de 2 habitaciones y 2 baños en buen estado, en Centro, Bogotá para venta, semi amoblado, pet friendly, que tenga balcón, terraza amplia, no necesito parqueadero, estrato 3",penthouse,2,2,0,3,venta,Bogotá,Centro,1.5M - 2M,1,1,1,1,"coworking, salón social, zona BBQ"
